DATE,RGF65Q4,RGF66Q1,RGF66Q2,RGF66Q3,RGF66Q4,RGF67Q1,RGF67Q2,RGF67Q3,RGF67Q4,RGF68Q1,RGF68Q2,RGF68Q3,RGF68Q4,RGF69Q1,RGF69Q2,RGF69Q3,RGF69Q4,RGF70Q1,RGF70Q2,RGF70Q3,RGF70Q4,RGF71Q1,RGF71Q2,RGF71Q3,RGF71Q4,RGF72Q1,RGF72Q2,RGF72Q3,RGF72Q4,RGF73Q1,RGF73Q2,RGF73Q3,RGF73Q4,RGF74Q1,RGF74Q2,RGF74Q3,RGF74Q4,RGF75Q1,RGF75Q2,RGF75Q3,RGF75Q4,RGF76Q1,RGF76Q2,RGF76Q3,RGF76Q4,RGF77Q1,RGF77Q2,RGF77Q3,RGF77Q4,RGF78Q1,RGF78Q2,RGF78Q3,RGF78Q4,RGF79Q1,RGF79Q2,RGF79Q3,RGF79Q4,RGF80Q1,RGF80Q2,RGF80Q3,RGF80Q4,RGF81Q1,RGF81Q2,RGF81Q3,RGF81Q4,RGF82Q1,RGF82Q2,RGF82Q3,RGF82Q4,RGF83Q1,RGF83Q2,RGF83Q3,RGF83Q4,RGF84Q1,RGF84Q2,RGF84Q3,RGF84Q4,RGF85Q1,RGF85Q2,RGF85Q3,RGF85Q4,RGF86Q1,RGF86Q2,RGF86Q3,RGF86Q4,RGF87Q1,RGF87Q2,RGF87Q3,RGF87Q4,RGF88Q1,RGF88Q2,RGF88Q3,RGF88Q4,RGF89Q1,RGF89Q2,RGF89Q3,RGF89Q4,RGF90Q1,RGF90Q2,RGF90Q3,RGF90Q4,RGF91Q1,RGF91Q2,RGF91Q3,RGF91Q4,RGF92Q1,RGF92Q2,RGF92Q3,RGF92Q4,RGF93Q1,RGF93Q2,RGF93Q3,RGF93Q4,RGF94Q1,RGF94Q2,RGF94Q3,RGF94Q4,RGF95Q1,RGF95Q2,RGF95Q3,RGF95Q4,RGF96Q1,RGF96Q2,RGF96Q3,RGF96Q4,RGF97Q1,RGF97Q2,RGF97Q3,RGF97Q4,RGF98Q1,RGF98Q2,RGF98Q3,RGF98Q4,RGF99Q1,RGF99Q2,RGF99Q3,RGF99Q4,RGF00Q1,RGF00Q2,RGF00Q3,RGF00Q4,RGF01Q1,RGF01Q2,RGF01Q3,RGF01Q4,RGF02Q1,RGF02Q2,RGF02Q3,RGF02Q4,RGF03Q1,RGF03Q2,RGF03Q3,RGF03Q4,RGF04Q1,RGF04Q2,RGF04Q3,RGF04Q4,RGF05Q1,RGF05Q2,RGF05Q3,RGF05Q4,RGF06Q1,RGF06Q2,RGF06Q3,RGF06Q4,RGF07Q1,RGF07Q2,RGF07Q3,RGF07Q4,RGF08Q1,RGF08Q2,RGF08Q3,RGF08Q4,RGF09Q1,RGF09Q2,RGF09Q3,RGF09Q4,RGF10Q1,RGF10Q2,RGF10Q3,RGF10Q4,RGF11Q1,RGF11Q2,RGF11Q3,RGF11Q4,RGF12Q1,RGF12Q2,RGF12Q3,RGF12Q4,RGF13Q1,RGF13Q2,RGF13Q3,RGF13Q4,RGF14Q1,RGF14Q2,RGF14Q3,RGF14Q4,RGF15Q1,RGF15Q2,RGF15Q3,RGF15Q4,RGF16Q1,RGF16Q2,RGF16Q3,RGF16Q4,RGF17Q1,RGF17Q2,RGF17Q3,RGF17Q4,RGF18Q1,RGF18Q2,RGF18Q3,RGF18Q4,RGF19Q1,RGF19Q2,RGF19Q3,RGF19Q4,RGF20Q1,RGF20Q2,RGF20Q3,RGF20Q4,RGF21Q1,RGF21Q2,RGF21Q3,RGF21Q4,RGF22Q1
1980:Q4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,108.6,107.4,107.4,107.4,107.4,107.4,104.8,104.8,104.8,104.8,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,104.2,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,244.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,284.4,399.2,399.2,399.2,399.2,399.2,399.2,399.2,399.2,399.2,399.2,399.2,399.2,399.2,399.2,399.2,#N/A,427.336,427.7,427.7,427.7,427.7,427.7,427.7,427.7,427.7,427.7,427.7,427.7,427.7,427.7,427.7,427.7,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,458.3,556.1,556.1,556.1,556.1,556.1,556.1,556.1,556.1,556.5,556.5,556.5,556.5,556.5,556.5,556.5,556.5,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,637.2,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4,687.4
1981:Q1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110.6,111.2,111.2,111.2,111.2,107.9,107.9,107.9,107.9,107.3,107.3,107.3,107.3,107.4,107.4,107.4,107.4,107.4,107.4,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,290.6,406.7,406.7,406.7,406.7,406.7,406.7,406.7,406.7,406.7,406.7,406.7,406.7,406.7,406.7,406.7,#N/A,436.1591,436.5,436.5,436.5,436.5,436.5,436.5,436.5,436.5,436.5,436.5,436.5,436.5,436.5,436.5,436.5,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,467.9,567.6,567.6,567.6,567.6,567.6,567.6,567.6,567.6,568.1,568.1,568.1,568.1,568.1,568.1,568.1,568.1,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,649.3,700.9,700.9,700.9,700.9,700.9,700.9,700.9,700.9,700.9,700.9,700.9,700.9,700.9,700.9,700.9
1981:Q2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,109.3,108.7,108.7,108.7,107,107,107,107,107.9,107.9,107.9,107.9,108.2,108.2,108.2,108.2,108.2,108.2,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,297.3,297.3,297.3,297.3,297.3,297.3,297.3,297.3,297.3,297.3,297.3,297.3,297.3,297.3,297.3,297.3,418.4,418.4,418.4,418.4,418.4,418.4,418.4,418.4,418.4,418.4,418.4,418.4,418.4,418.4,418.4,#N/A,449.3937,449.8,449.8,449.8,449.8,449.8,449.8,449.8,449.8,449.8,449.8,449.8,449.8,449.8,449.8,449.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,481.8,584.5,584.5,584.5,584.5,584.5,584.5,584.5,584.5,585,585,585,585,585,585,585,585,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,667.8,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9
1981:Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,110.2,109.6,109.6,110.7,110.7,110.7,110.7,111.8,111.8,111.8,111.8,111.7,111.7,111.7,111.7,111.7,111.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,262.7,297.5,297.5,297.5,297.5,297.5,297.5,297.5,297.5,297.5,297.5,297.5,297.5,297.5,297.5,297.5,297.5,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,418.1,#N/A,449.128,449.4,449.4,449.4,449.4,449.4,449.4,449.4,449.4,449.4,449.4,449.4,449.4,449.4,449.4,449.4,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,481.3,583.9,583.9,583.9,583.9,583.9,583.9,583.9,583.9,584.4,584.4,584.4,584.4,584.4,584.4,584.4,584.4,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,664.5,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9,715.9
1981:Q4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,114.5,116.6,116,116,116,116,114.5,114.5,114.5,114.5,113.8,113.8,113.8,113.8,113.8,113.8,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,267.5,297.9,297.9,297.9,297.9,297.9,297.9,297.9,297.9,297.9,297.9,297.9,297.9,297.9,297.9,297.9,297.9,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,420.5,#N/A,451.7855,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,452.1,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,486.4,590.1,590.1,590.1,590.1,590.1,590.1,590.1,590.1,590.7,590.7,590.7,590.7,590.7,590.7,590.7,590.7,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,674.4,728.8,728.8,728.8,728.8,728.8,728.8,728.8,728.8,728.8,728.8,728.8,728.8,728.8,728.8,728.8
1982:Q1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,118.3,114.4,114.4,114.4,114.4,114.5,114.5,114.5,114.5,114.8,114.8,114.8,114.8,114.8,114.8,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,299.5,420.2,420.2,420.2,420.2,420.2,420.2,420.2,420.2,420.2,420.2,420.2,420.2,420.2,420.2,420.2,#N/A,452.5828,452.8,452.8,452.8,452.8,452.8,452.8,452.8,452.8,452.8,452.8,452.8,452.8,452.8,452.8,452.8,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,487.1,591,591,591,591,591,591,591,591,591.6,591.6,591.6,591.6,591.6,591.6,591.6,591.6,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,675,729.3,729.3,729.3,729.3,729.3,729.3,729.3,729.3,729.3,729.3,729.3,729.3,729.3,729.3,729.3
1982:Q2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,109.4,110.3,110.3,110.3,110.3,110.3,110.3,110.3,111,111,111,111,111,111,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,260.5,301.6,301.6,301.6,301.6,301.6,301.6,301.6,301.6,301.6,301.6,301.6,301.6,301.6,301.6,301.6,301.6,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,#N/A,456.9944,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,491.6,596.4,596.4,596.4,596.4,596.4,596.4,596.4,596.4,596.9,596.9,596.9,596.9,596.9,596.9,596.9,596.9,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,681.6,732.3,732.3,732.3,732.3,732.3,732.3,732.3,732.3,732.3,732.3,732.3,732.3,732.3,732.3,732.3
1982:Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,115.3,116.2,116.2,116.9,116.9,116.9,116.9,117.2,117.2,117.2,117.2,117.2,117.2,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,273.8,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,307,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,#N/A,464.4887,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,605.4,605.4,605.4,605.4,605.4,605.4,605.4,605.4,605.9,605.9,605.9,605.9,605.9,605.9,605.9,605.9,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,690.5,744.3,744.3,744.3,744.3,744.3,744.3,744.3,744.3,744.3,744.3,744.3,744.3,744.3,744.3,744.3
1982:Q4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,123.7,124.7,124.4,124.4,124.4,124.4,124.8,124.8,124.8,124.8,124.8,124.8,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,289.5,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,442.1,442.1,442.1,442.1,442.1,442.1,442.1,442.1,442.1,442.1,442.1,442.1,442.1,442.1,442.1,#N/A,477.6702,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,513.7,623.3,623.3,623.3,623.3,623.3,623.3,623.3,623.3,623.8,623.8,623.8,623.8,623.8,623.8,623.8,623.8,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,707.7,761.9,761.9,761.9,761.9,761.9,761.9,761.9,761.9,761.9,761.9,761.9,761.9,761.9,761.9,761.9
1983:Q1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,117.5,118.4,118.4,118.4,118.4,119,119,119,119,119,119,279.2,279.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,315.5,444.6,444.6,444.6,444.6,444.6,444.6,444.6,444.6,444.6,444.6,444.6,444.6,444.6,444.6,444.6,#N/A,482.1349,482.5,482.5,482.5,482.5,482.5,482.5,482.5,482.5,482.5,482.5,482.5,482.5,482.5,482.5,482.5,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,630.9,630.9,630.9,630.9,630.9,630.9,630.9,630.9,631.3,631.3,631.3,631.3,631.3,631.3,631.3,631.3,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,718.9,773.9,773.9,773.9,773.9,773.9,773.9,773.9,773.9,773.9,773.9,773.9,773.9,773.9,773.9,773.9
1983:Q2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,118.2,117.6,117.6,117.6,117.2,117.2,117.2,117.2,117.2,117.2,277.6,277.6,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,278.5,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,452.5,452.5,452.5,452.5,452.5,452.5,452.5,452.5,452.5,452.5,452.5,452.5,452.5,452.5,452.5,#N/A,491.8084,492.2,492.2,492.2,492.2,492.2,492.2,492.2,492.2,492.2,492.2,492.2,492.2,492.2,492.2,492.2,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,644.3,644.3,644.3,644.3,644.3,644.3,644.3,644.3,644.7,644.7,644.7,644.7,644.7,644.7,644.7,644.7,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,735.1,788.3,788.3,788.3,788.3,788.3,788.3,788.3,788.3,788.3,788.3,788.3,788.3,788.3,788.3,788.3
1983:Q3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,119.6,118.9,118.9,115.6,115.6,115.6,115.6,115.6,115.6,277.4,277.4,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,277.6,326.3,326.3,326.3,326.3,326.3,326.3,326.3,326.3,326.3,326.3,326.3,326.3,326.3,326.3,326.3,326.3,465.1,465.1,465.1,465.1,465.1,465.1,465.1,465.1,465.1,465.1,465.1,465.1,465.1,465.1,465.1,#N/A,505.7341,506.1,506.1,506.1,506.1,506.1,506.1,506.1,506.1,506.1,506.1,506.1,506.1,506.1,506.1,506.1,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,545.9,662.4,662.4,662.4,662.4,662.4,662.4,662.4,662.4,662.8,662.8,662.8,662.8,662.8,662.8,662.8,662.8,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,752.9,808.7,808.7,808.7,808.7,808.7,808.7,808.7,808.7,808.7,808.7,808.7,808.7,808.7,808.7,808.7
1983:Q4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,116.9,116.4,113,113,113,113,113,113,267.9,267.9,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,322.2,322.2,322.2,322.2,322.2,322.2,322.2,322.2,322.2,322.2,322.2,322.2,322.2,322.2,322.2,322.2,448.4,448.4,448.4,448.4,448.4,448.4,448.4,448.4,448.4,448.4,448.4,448.4,448.4,448.4,448.4,#N/A,488.141,488.5,488.5,488.5,488.5,488.5,488.5,488.5,488.5,488.5,488.5,488.5,488.5,488.5,488.5,488.5,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,526.7,639.2,639.2,639.2,639.2,639.2,639.2,639.2,639.2,639.6,639.6,639.6,639.6,639.6,639.6,639.6,639.6,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,782.5,782.5,782.5,782.5,782.5,782.5,782.5,782.5,782.5,782.5,782.5,782.5,782.5,782.5,782.5
